Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1159,32.1583185,-94.8170456,true,LTE-ENodeB-2044,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S116,30.0144254,-96.1821566,true,LTE-ENodeB-1104,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1160,32.1654753,-94.8335422,true,LTE-ENodeB-2045,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1161,32.1898175,-94.9753933,true,LTE-ENodeB-2046,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1162,31.2977712,-93.8255077,true,LTE-ENodeB-2047,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1163,31.5844904,-94.1841481,true,LTE-ENodeB-2048,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1164,31.4681504,-94.1510593,true,LTE-ENodeB-2049,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1165,31.4899974,-94.0754561,true,LTE-ENodeB-2050,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1166,27.9176761,-97.2215817,true,LTE-ENodeB-2051,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1167,31.5484281,-94.1407718,true,LTE-ENodeB-207,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1168,31.5079626,-94.1296707,true,LTE-ENodeB-2052,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1169,31.3510793,-94.0621205,true,LTE-ENodeB-2053,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S117,30.0596980,-96.3814834,true,LTE-ENodeB-1105,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1170,31.2132457,-94.1870181,true,LTE-ENodeB-2054,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1171,27.8232496,-97.2056093,true,LTE-ENodeB-2055,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1172,32.3353290,-95.2837882,true,LTE-ENodeB-2056,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1173,30.4931565,-94.9442748,true,LTE-ENodeB-2057,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1174,30.4360003,-95.0270051,true,LTE-ENodeB-2058,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1175,30.4643885,-95.1949424,true,LTE-ENodeB-2059,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1176,30.4300877,-95.2330088,true,LTE-ENodeB-2060,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1177,30.4282434,-95.1736013,true,LTE-ENodeB-2061,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1178,30.4573456,-95.0919651,true,LTE-ENodeB-208,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1179,32.6090356,-95.5648491,true,LTE-ENodeB-2062,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S118,32.5488794,-94.8068165,true,LTE-ENodeB-1106,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1180,32.4603734,-95.5438820,true,LTE-ENodeB-2063,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
